PhonAlign;PhonAlign-IPA;Example
b;b  ; banca, cibo 
d;d  ; dove, idra 
dz;dz ; zaino, zelare, mezzo 
dZ;dʒ ; giungla, magia, fingere, pagina 
f;f  ; fatto, fosforo 
g;ɡ  ; gatto, agro, glifo, ghetto
k;k  ; cavolo, acuto, anche, quei 
l;l  ; lato, lievemente
L;ʎ  ; gli, glielo, maglia
m;m  ; mano, amare, campo
n;n  ; nano, punto, pensare, anfibio 
N;ŋ  ; fango, unghia, panchina, dunque
J;ɲ  ; gnocco, ogni
p;p  ; primo, ampio, copertura 
r;r  ; Roma, quattro, morte 
s;s  ; sano, scatola, presentire, pasto 
S;ʃ  ; scena, sciame, pesci
t;t  ; tranne, mito, 
ts;ts ; sozzo, canzone, marzo 
tS;tʃ ; Cennini, cinque, ciao
v;v  ; vado, povero 
z;z  ; sbavare, presentare, asma
j;j  ; ieri, scoiattolo, più, Jesi
w;w  ; uovo, fuoco, qui
a;a  ; alto, sarà
e;e  ; vero, perché
E;ɛ  ; elica, cioè
i;i  ; imposta, colibrì, zie
o;o  ; ombra, come
o;ɔ  ; otto, posso, sarò
u;u  ; ultimo, caucciù, tuo
