PhonAlign;PhonAlign-IPA;Exemple
b;b ; beau
d;d ; doux 
f;f ; fête, pharmacie
g;ɡ ; gain, guerre, second
k;k ; cabas, psychologie, quatre, kelvin
l;l ; loup 
m;m ; mou, femme 
n;n ; nous, bonne
J;ɲ ; agneaux
p;p ; passé
r;ʁ ; roue, rhume
s;s ; sa, hausse, ce, garçon, option, scie
S;ʃ ; choux, schème, shampooing 
t;t ; tout, thé, grand-oncle 
v;v ; vous, wagon, neuf heures 
z;z ; hasard, zéro, transit
Z;ʒ ; joue, geai
dZ;dʒ ; Djakarta, jazz, budget
N;ŋ ; camping, bingo
tS;tʃ ; Datcha, ciao, sandwich 
x;x ; jota
j;j ; fief, payer, fille, travail 
w;w ; oui, loi, moyen, web, whisky, wagon
h;ɥ ; huit, Puy
a;a ; patte, là 
a;ɑ ; pâte, glas
e;e ; clé, les, chez, aller, pied, journée
E;ɛ ; crème, est, faite, peine
E;ɛː ; fête, maître, mètre, reître, reine, caisse, Lemaistre, Lévesque
EU;ə ; le, reposer, monsieur, faisons
i;i ; si, île, régie, y 
EU9;œ ; sœur, jeune 
EU;ø ; ceux, jeûner, queue
o;o ; sot, hôtel, haut, bureau 
o;ɔ ; sort, minimum 
u;u ; coup, clown, roue
y;y ; tu, sûr, rue
a~;ɑ̃ ; sans, champ, vent, temps, Jean, taon
U~;ɛ̃ ; vin, impair, pain, daim, plein, Reims, synthèse, sympa, bien
U~;œ̃ ; un, parfum
o~;ɔ̃ ; son, nom
