PhonAlign;PhonAlign-IPA;Exemple
b;b ; buy, cab
d;d ; dye, cad, do
D;ð ; thy, breathe, father
dZ;dʒ ; giant, badge, jam
f;f ; phi, caff, fan
g;ɡ ; guy, bag
h;h ; high, ahead
j;j ; yes, yacht
k;k ; sky, crack
l;l ; lie, sly, gal
m;m ; my, smile, cam
n;n ; nigh, snide, can
N;ŋ ; sang, sink, singer
T;θ ; thigh, math
p;p ; pie, spy, cap
r;r ; rye, try, very
s;s ; sigh, mass
S;ʃ ; shy, cash, emotion
t;t ; tie, sty, cat, atom
tS;tʃ ; China, catch
v;v ; vie, have
w;w ; wye, swine
hw;hw ; why
z;z ; zoo, has
Z;ʒ ; equation, pleasure, vision, beige
x;x ; ugh, loch, Chanukah
;ʔ ; uh-oh
A;ɑː ; PALM, father, bra
A;ɒ ; LOT, pod, John
{;æ ; TRAP, pad, shall, ban
aI;aɪ ; PRICE, ride, file, fine, pie
aU;aʊ ; MOUTH, loud, foul, down, how
@;ɛ ; DRESS, bed, fell, men
eI;eɪ ; FACE, made, fail, vein, pay
I;ɪ ; KIT, lid, fill, bin
O:;ɔː ; THOUGHT, Maud, dawn, fall, straw
OI;ɔɪ ; CHOICE, void, foil, coin, boy
@U;oʊ ; GOAT, code, foal, bone, go
U;ʊ ; FOOT, good, full, woman
u:;uː ; GOOSE, food, fool, soon, chew, do
;juː ; cued, cute, mule, tune, queue, you
V;ʌ ; STRUT, mud, dull, gun
;ə ; Rosa’s, a mission, comma
;ɨ ; roses, emission
;ɵ ; omission
;ʉ ; beautiful, curriculum
i;i ; HAPPY, serious
i:;iː ; FLEECE, seed, feel, mean, sea
3:r;ɜ:r;
4;ɾ;
