PhonAlign;PhonAlign-IPA;Exemple
b;b ; bestia, embuste, vaca
b;β ; bebé, obtuso, vivir, curva 
d;d ; dedo, cuando, aldaba 
d;ð ; dádiva, arder, anddmirar
f;f ; fase, café 
g;ɡ ; gato, lengua, gatouerra
h;h ; jamón, eje, reloj, general, México 
;ɣ ; trigo, amargo, sigue, signo 
;ʝ ; ayuno, poyo, maracuyá
k;k ; caña, laca, quise, kilo
l;l ; lino, alhaja, principal
L;ʎ ; llave, pollo roughly
m;m ; madre, completelymer, campo, convertir
n;n ; nido, anillo, anhelo, sin, álbum
J;ɲ ; ñandú, cañón, enyesar
N;ŋ ; cinco, venga, conquista
p;p ; pozo, topo
rr;r ; rumbo, carro, honra, subrayo, amor
r;ɾ ; caro, bravo, amor, eterno
s;s ; saco, zapato, cientos, espita, xenón
T;θ ; xenón cereal, encima, zorro, enzima, paz 
t;t ; tamiz, átomo
tS;tʃ ; chubasco, acechar
x;x ; jamón, eje, reloj general, México 
z;z ; isla, mismo, deshuesar
S;ʃ ; English abacaxi, Shakira
;tɬ ; tlapalería, cenzontle, Popocatépetl
ts;ts ; Ertzaintza, abertzale, Pátzcuaro
j;j ; aliada, cielo, amplio, ciudad
w;w ; cuadro, fuego
a;a ; azahar 	
e;e ; vehemente 
i;i ; dimitir, mío, 
o;o ; boscoso 
u;u ; cucurucho, dúo
